mu sigma alpha beta het how
-0.0115137436 0.0115137436 -2.0 3000 0.000556455019 fedya
-0.0115137436 0.0115137436 -2.0 5000 0.000552825206 fedya
-0.0115137436 0.0115137436 -2.0 7000 0.000581434589 fedya
-0.0115137436 0.0115137436 -4.0 0 0.000002694671 rai
-0.0115137436 0.0115137436 -4.0 1000 0.000306528670 rai
-0.0115137436 0.0115137436 -4.0 3000 0.000307020531 rai
-0.0115137436 0.0115137436 -4.0 5000 0.000305499922 rai
-0.0115137436 0.0115137436 -4.0 7000 0.000307410764 rai
-0.0085835287 0.0000100000 0.0 0 0.000005541837 rai
-0.0085835287 0.0000100000 0.0 1000 0.000443783229 rai
-0.0085835287 0.0000100000 0.0 3000 0.000450553699 rai
-0.0085835287 0.0000100000 0.0 5000 0.000452451299 rai
-0.0085835287 0.0000100000 0.0 7000 0.000452382968 rai
-0.0085835287 0.0000100000 -2.0 0 0.000005580039 rai
-0.0085835287 0.0000100000 -2.0 1000 0.000442065304 rai
-0.0085835287 0.0000100000 -2.0 3000 0.000450740716 rai
-0.0085835287 0.0000100000 -2.0 5000 0.000451545890 rai
-0.0085835287 0.0000100000 -2.0 7000 0.000452220187 rai
-0.0085835287 0.0000100000 -4.0 0 0.000005548740 rai
-0.0085835287 0.0000100000 -4.0 1000 0.000441924680 rai
-0.0085835287 0.0000100000 -4.0 3000 0.000452786604 rai
-0.0085835287 0.0000100000 -4.0 5000 0.000452759455 rai
-0.0085835287 0.0000100000 -4.0 7000 0.000452272546 rai
-0.0085835287 0.0000134138 0.0 0 0.000005569175 rai
-0.0085835287 0.0000134138 0.0 1000 0.000442841469 rai
-0.0085835287 0.0000134138 0.0 3000 0.000451268126 rai
-0.0085835287 0.0000134138 0.0 5000 0.000452188706 rai
-0.0085835287 0.0000134138 0.0 7000 0.000452905958 rai
-0.0085835287 0.0000134138 -2.0 0 0.000005580288 rai
-0.0085835287 0.0000134138 -2.0 1000 0.000442788937 rai
-0.0085835287 0.0000134138 -2.0 3000 0.000451316946 rai
-0.0085835287 0.0000134138 -2.0 5000 0.000451153344 rai
-0.0085835287 0.0000134138 -2.0 7000 0.000451731694 rai
-0.0085835287 0.0000134138 -4.0 0 0.000005586733 rai
-0.0085835287 0.0000134138 -4.0 1000 0.000442966003 rai
-0.0085835287 0.0000134138 -4.0 3000 0.000451247291 rai
-0.0085835287 0.0000134138 -4.0 5000 0.000451955370 rai
-0.0085835287 0.0000134138 -4.0 7000 0.000450821516 rai
-0.0085835287 0.0000179929 0.0 0 0.000005624527 rai
-0.0085835287 0.0000179929 0.0 1000 0.000443757040 rai
-0.0085835287 0.0000179929 0.0 3000 0.000451184076 rai
-0.0085835287 0.0000179929 0.0 5000 0.000451868051 rai
-0.0085835287 0.0000179929 0.0 7000 0.000450723000 rai
-0.0085835287 0.0000179929 -2.0 0 0.000005595776 rai
-0.0085835287 0.0000179929 -2.0 1000 0.000442190706 rai
-0.0085835287 0.0000179929 -2.0 3000 0.000449813279 rai
-0.0085835287 0.0000179929 -2.0 5000 0.000450477689 rai
-0.0085835287 0.0000179929 -2.0 7000 0.000450530000 rai
-0.0085835287 0.0000179929 -4.0 0 0.000005566334 rai
-0.0085835287 0.0000179929 -4.0 1000 0.000443103975 rai
-0.0085835287 0.0000179929 -4.0 3000 0.000451777500 rai
-0.0085835287 0.0000179929 -4.0 5000 0.000451614252 rai
-0.0085835287 0.0000179929 -4.0 7000 0.000450365915 rai
-0.0085835287 0.0000241353 0.0 0 0.000005604114 rai
-0.0085835287 0.0000241353 0.0 1000 0.000443668635 rai
-0.0085835287 0.0000241353 0.0 3000 0.000451316038 rai
-0.0085835287 0.0000241353 0.0 5000 0.000450564071 rai
-0.0085835287 0.0000241353 0.0 7000 0.000451138339 rai
-0.0085835287 0.0000241353 -2.0 0 0.000005581482 rai
-0.0085835287 0.0000241353 -2.0 1000 0.000442621936 rai
-0.0085835287 0.0000241353 -2.0 3000 0.000450285554 rai
-0.0085835287 0.0000241353 -2.0 5000 0.000451272060 rai
-0.0085835287 0.0000241353 -2.0 7000 0.000450477631 rai
-0.0085835287 0.0000241353 -4.0 0 0.000005598065 rai
-0.0085835287 0.0000241353 -4.0 1000 0.000443286696 rai
-0.0085835287 0.0000241353 -4.0 3000 0.000451010810 rai
-0.0085835287 0.0000241353 -4.0 5000 0.000452087264 rai
-0.0085835287 0.0000241353 -4.0 7000 0.000452485435 rai
-0.0085835287 0.0000323745 0.0 0 0.000005591241 rai
-0.0085835287 0.0000323745 0.0 1000 0.000445028168 rai
-0.0085835287 0.0000323745 0.0 3000 0.000451479011 rai
